at,poolName,pair,endBlock,priceBaseInQuote,riskScore,riskStatus,trend,deltaScore,events,syncBlock,syncAgeBlocks,flowStatus,flowNetQuote,flowGrossQuote,flowNetPct,flowGrossPct,l1Status,l1NetLiq15Quote,l1Churn15Quote,m1Status,m1BouncePairs,m1ClassicCandidates,m1ReversalPairs,volStatus,volShort,volLong
2026-02-27 08:11:32,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24546985,2038.8376092077438,45,ELEVATED,FLAT,0,,24546980,5,ELEVATED,19283648667,19285616523,0.2650054117830768,0.26503245503088824,OK,0,0,ELEVATED,5,0,1,OK,0.0009178717824329711,
2026-02-27 08:11:32,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24546985,1.0021395937091104,23,OK,FLAT,0,,24546962,23,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:12:05,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24546988,2038.8613003296318,33,ELEVATED,FLAT,0,,24546980,8,ELEVATED,23567137131,24450473287,0.25848834873281723,0.26817692919429753,OK,0,0,OK,1,0,0,OK,0.0009520452170711387,
2026-02-27 08:12:05,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24546988,0.030124611575343806,23,OK,FLAT,0,,24546964,24,OK,128,128,0.0000021447282412357312,0.0000021447282412357312,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:12:05,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24546988,2037.9958703665457,55,HIGH,RISING,10,MEV_SWARM,24546988,0,ELEVATED,17783648667,20785616523,0.24444206054760662,0.285705089420866,OK,0,0,HIGH,10,0,1,OK,0.0010589804946146484,
2026-02-27 08:12:05,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24546988,1.0021395937091104,28,ELEVATED,RISING,5,STATE_STALE,24546962,26,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
2026-02-27 08:12:38,USDC/WETH,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,24546991,2038.8613003296318,33,ELEVATED,FLAT,0,,24546980,11,ELEVATED,23567137131,24450473287,0.25848834873281723,0.26817692919429753,OK,0,0,OK,1,0,0,OK,0.0003939542970925444,
2026-02-27 08:12:38,WBTC/WETH,0xBb2b8038a1640196FbE3e38816F3e67Cba72D940,24546991,0.030124611575343806,28,ELEVATED,RISING,5,STATE_STALE,24546964,27,OK,128,128,0.0000021447282412357312,0.0000021447282412357312,OK,0,0,OK,0,0,0,OK,0,
2026-02-27 08:12:38,USDT/WETH,0x0d4a11d5EEaaC28EC3F61d100daF4d40471f1852,24546991,2037.9958703665457,55,HIGH,FLAT,0,MEV_SWARM,24546988,3,ELEVATED,17783648667,20785616523,0.24444206054760662,0.285705089420866,OK,0,0,HIGH,10,0,1,OK,0.0005074064363768209,
2026-02-27 08:12:38,USDC/USDT,0x3041CbD36888bECc7bbCBc0045E3B1f144466f5f,24546991,1.0021395937091104,28,ELEVATED,FLAT,0,STATE_STALE,24546962,29,OK,-1696015,18286573,0.0000957963857729597,0.0010328844978218879,OK,0,0,OK,1,0,0,OK,0,
